Stock,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,F-Beta
TSLA,6.017882221933396,4.843631677336687,0.7234493703404998,0.6521739130434783,0.625,0.6818181818181818,0.6521739130434783,0.635593220338983
MSFT,5.56697935489243,4.647991458152206,0.9005405110589818,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7,0.7446808510638298
PG,1.2398062523264173,0.9149097391394716,0.9324818053575468,0.6739130434782609,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.6756756756756757
META,6.200962486289704,5.37758973473501,0.7300075792570859,0.6956521739130435,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.632183908045977
AMZN,2.9515497025138515,1.9972308430970864,0.890638392985987,0.6739130434782609,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6422018348623854
GOOG,2.680306893361619,2.3060668392576957,0.8614447668832552,0.717391304347826,0.7777777777777778,0.6086956521739131,0.6829268292682927,0.7368421052631579
AMD,3.112129063838858,2.4563839419646865,0.9163257885814527,0.6956521739130435,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AAPL,1.780771283069768,1.441516700078292,0.9451444033176712,0.6739130434782609,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6422018348623854
NFLX,8.158154030709815,6.343654685149122,-0.0003892679027488466,0.43478260869565216,0.47619047619047616,0.4,0.43478260869565216,0.45871559633027525
TSM,3.187818515813568,2.8316952938297946,0.6533710144706563,0.6304347826086957,0.6153846153846154,0.4,0.48484848484848486,0.5555555555555556
KO,0.4648965471321336,0.3361570536444736,0.9550987813131752,0.8260869565217391,0.9444444444444444,0.7083333333333334,0.8095238095238095,0.8854166666666666
F,0.6498409843934715,0.51141584606048,0.7144389753371989,0.717391304347826,0.6666666666666666,0.7,0.6829268292682927,0.6730769230769231
COST,4.02907860716275,3.0200566825847868,0.9692281216924582,0.7608695652173914,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.7456140350877193
DIS,3.363352191396348,2.3614660016716913,0.7719184605605367,0.6521739130434783,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191
VZ,3.0567135547045403,2.715105386028513,-1.0265465635926216,0.5652173913043478,0.3888888888888889,0.4375,0.4117647058823529,0.3977272727272727
CRM,5.998697310039045,5.020111643749721,0.8552785538645256,0.6304347826086957,0.6111111111111112,0.5238095238095238,0.5641025641025641,0.5913978494623656
INTC,3.26765928219752,2.75654983495166,0.0708052695772663,0.5652173913043478,0.4,0.5,0.4444444444444444,0.4166666666666667
BA,4.394906833522276,3.5957972221917536,0.8658353795846976,0.6956521739130435,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
BX,1.7880789692569858,1.3974500144518063,0.9334885637253328,0.6739130434782609,0.5909090909090909,0.6842105263157895,0.6341463414634146,0.6074766355140186
NOC,8.310750767527756,7.343384832017253,0.456798474355266,0.782608695652174,0.76,0.8260869565217391,0.7916666666666666,0.7723577235772358
PYPL,4.0804196227461365,3.271377780295947,0.27119949327064086,0.5869565217391305,0.6363636363636364,0.56,0.5957446808510638,0.6194690265486725
ENPH,11.88394569630914,9.824411836894855,0.34249032575739213,0.6086956521739131,0.6521739130434783,0.6,0.625,0.6410256410256411
NIO,0.7416439798518646,0.5626204728634804,0.6558792348372915,0.7391304347826086,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.7303370786516854
ZS,7.597960441564153,5.22966681684181,0.56426598332212,0.5217391304347826,0.4583333333333333,0.55,0.5,0.47413793103448276
XPEV,2.4441888374402714,1.965578914557707,0.6013298498352724,0.6304347826086957,0.4117647058823529,0.5,0.45161290322580644,0.4268292682926829
